drugbank_id	name	cas	group	description	indication
DB11880	Acridine Carboxamide	89459-25-6	investigational,	Acridine Carboxamide has been used in trials studying the treatment of Lung Cancer and Brain and Central Nervous System Tumors.	
DB11881	AUY922	747412-64-2	investigational,	AUY922 has been used in trials studying the treatment of Lymphoma, Breast Cancer, Metastatic Disease, Advanced Solid Tumors, and Hematologic Neoplasms, among others.	
DB11882	BPC-157	137525-51-0	investigational,	Bepecin is under investigation in clinical trial NCT02637284 (PCO-02 - Safety and Pharmacokinetics Trial).	
DB11883	SB-705498	501951-42-4	investigational,	SB-705498 has been investigated for the treatment of Rhinitis, Chronic Cough, and Non-allergic Rhinitis.	
DB11884	Vadastuximab Talirine	1436390-64-5	investigational,	Vadastuximab Talirine has been used in trials studying the treatment of Acute myeloid leukemia, Myelodysplastic Syndrome, Acute Myelogenous Leukemia, and Acute Promyelocytic Leukemia.	
DB11885	Anlotinib	1058156-90-3	investigational,	Anlotinib has been investigated for the treatment of Non-small Cell Lung Cancer and Metastatic Colorectal Cancer.	
DB11886	Infigratinib	872511-34-7	investigational,	Infigratinib is under investigation for the treatment of Head and Neck Squamous Cell Carcinoma.	
DB11888	Laninamivir octanoate	203120-46-1	investigational,	Laninamivir octanoate has been used in trials studying the treatment of Asthma.	
DB11889	Lanicemine	153322-05-5	investigational,	Lanicemine has been used in trials studying the treatment and basic science of Depression, Major Depressive Disorder, and Treatment Resistant Major Depressive Disorder.	
DB11890	Cilengitide	188968-51-6	investigational,	Cilengitide has been used in trials studying the treatment of Sarcoma, Gliomas, Lymphoma, Leukemia, and Lung Cancer, among others.	
DB11891	CUDC-907	1339928-25-4	investigational,	CUDC-907 has been used in trials studying the treatment of Lymphoma, Solid Tumors, BREAST CANCER, Multiple Myeloma, and NUT Midline Carcinoma, among others.	
DB11892	Prulifloxacin	123447-62-1	investigational,	Prulifloxacin has been investigated for the treatment of Urinary Tract Infection.	
DB11893	Avagacestat	1146699-66-2	investigational,	Avagacestat has been investigated for the basic science and treatment of Alzheimer Disease.	
DB11894	Efatutazone	223132-37-4	investigational,	Efatutazone has been used in trials studying the treatment of Lymphoma, Liposarcoma, Solid Tumors, Multiple Myeloma, and Recurrent Thyroid Cancer, among others.	
DB11895	Ghrelin	258279-04-8	investigational,	Ghrelin has been investigated for the treatment and basic science of Cancer, Alcoholism, Metabolism, Hypopituitarism, and Frailty Syndrome, among others.	
DB11896	Gedatolisib	1197160-78-3	investigational,	Gedatolisib has been used in trials studying the basic science and treatment of Neoplasm, Ovary Cancer, Breast Cancer, Advanced Cancer, and Endometrial Cancer, among others.	
DB11898	2,4-thiazolidinedione	2295-31-0	investigational,	Thiazolidinedione has been investigated for the treatment of Type 2 Diabetes, Diabetes Mellitus, and DIABETES MELLITUS, TYPE 2.	
DB11899	MK-8776	891494-63-6	investigational,	Sch 900776 has been used in trials studying the treatment of Neoplasms, Hodgkin Disease, Adult Erythroleukemia, Lymphoma, Non-Hodgkin, and Myelogenous Leukemia, Acute, among others.	
DB11900	OC-459	851723-84-7	investigational,	OC000459 is under investigation for the treatment of Severe Eosinophilic Asthma. OC000459 has been investigated for the treatment of Bronchial Asthma.	
DB11901	Apalutamide	956104-40-8	approved,investigational,	"Apalutamide is a potent androgen receptor (AR) antagonist that selectively binds to the ligand-binding domain of AR and blocks AR nuclear translocation or binding to androgen response elements [A31846]. It has been used in trials studying the treatment of Prostate Cancer, Hepatic Impairment, Prostatic Neoplasms, Castration-Resistant Prostate Cancer, and Prostatic Neoplasms, Castration-Resistant, among others. Exerting an antitumor action, apalutamide blocking the effect of androgens that promote tumor growth. It targets the AR ligand-binding domain and prevents AR nuclear translocation, DNA binding, and transcription of AR gene targets in prostate tumors [A31846]. In mice bearing human CRPC xenograft models, apalutamide treatment produced tumor regressions in a dose-dependent manner that was more effective than that of [DB01128] or [DB08899]. Unlike bicalutamide, apalutamide antagonized AR-mediated signaling in AR overexpressing human CRPC cell lines [A31846].

Androgen-deprivation therapy, or hormone therapy, can be used as part of maintenance therapy for patients with non-metastatic prostate cancer. Although most patients achieve therapeutic responses at the initial hormone therapy, many patients progress to non-metastatic castration-resistant (resistance to hormone therapy) prostate cancer which is the second-most common cause of cancer-related deaths in American males [A31852]. Castration-resistant prostate cancer is often incurable, which poses significant clinical challenges for patients. Approximately 10 to 20 % of prostate cancer cases are castration-resistant, and up to 16% of these patients show no evidence of cancer metastasis at the time of castration-resistant diagnosis [L1295]. Higher prostate-specific antigen (PSA) and shorter PSA doubling time (PSA DT) are associated with a higher risk for metastases and death [A31846]. In a phase-2 multicenter open-label study, 89% of patients with non-metastatic, castration-resistant prostate cancer had ≥50% PSA decline at week 12 of apalutamide treatment [A31846]. In a randomized trial, the median metastasis-free survival for patients taking apalutamide was 40.5 months compared to 16.2 months for patients taking a placebo [L1295]. Apalutamide displayed good tolerability and safety profile in clinical studies. 

Apalutamide was approved in February 2018 by the FDA as Erleada for the treatment of patients with non-metastatic prostate cancer that is resistant to treatment with hormone therapy (castration-resistant). It is available as oral tablets. Apalutamide is the first FDA-approved treatment for non-metastatic, castration-resistant prostate cancer [L1295]."	Indicated for the treatment of patients with non-metastatic, castration-resistant prostate cancer (NM-CRPC) [FDA Label].
DB11902	Gisadenafil	334826-98-1	investigational,	Gisadenafil has been investigated for the treatment of Prostatic Hyperplasia.	
DB11903	GW842166	666260-75-9	investigational,	GW842166X has been used in trials studying the treatment of Pain, Analgesia, Inflammation, Osteoarthritis, and Pain, Inflammatory, among others.	
DB11904	Flumatinib	895519-90-1	investigational,	Flumatinib has been used in trials studying the treatment of Myelogenous Leukemia, Chronic.	
DB11905	Sutezolid	168828-58-8	investigational,	Sutezolid has been used in trials studying the treatment of Tuberculosis.	
DB11906	Acyline	170157-13-8	investigational,	Acyline has been investigated for the prevention and treatment of Hypogonadism and Contraception.	
DB11907	Rociletinib	1374640-70-6	investigational,	Rociletinib has been used in trials studying the treatment and prevention of Nonsmall Cell Lung Cancer, Non-small Cell Lung Cancer, and Locally Advanced or Metastatic Non-small Cell Lung Cancer.	
DB11909	Varespladib	172732-68-2	investigational,	Varespladib has been investigated for the treatment and prevention of Sickle Cell Disease, Vaso-occlusive Crisis, and Acute Coronary Syndrome.	
DB11910	MK-0249	1167574-41-5	investigational,	MK0249 has been used in trials studying the treatment of Hypopnea Syndrome, Alzheimer's Disease, Paranoid Schizophrenia, Sleep Apnea, Obstructive, and Excessive Daytime Sleepiness, among others.	
DB11911	Galunisertib	700874-72-2	investigational,	Galunisertib has been used in trials studying the basic science and treatment of Glioma, Neoplasms, Solid Tumor, GLIOBLASTOMA, and Prostate Cancer, among others.	
DB11912	Lanopepden	1152107-25-9	investigational,	Lanopepden has been used in trials studying the treatment of Pneumonia, Infections, Bacterial, Skin Diseases, Infectious, and Skin Infections, Bacterial.	
DB11913	LY-2090314	603288-22-8	investigational,	Ly2090314 has been used in trials studying the treatment of Leukemia, Advanced Cancer, and Pancreatic Cancer.	
DB11914	Lebrikizumab	953400-68-5	investigational,	Lebrikizumab has been used in trials studying the treatment of Asthma, Allergic Asthma, Atopic Dermatitis, Idiopathic Pulmonary Fibrosis, and COPD, Chronic Obstructive Pulmonary Disease.	
DB11915	Valbenazine	1025504-45-3	approved,investigational,	Valbenazine (development name NBI-98854) has been used in trials studying the treatment and basic science of Tourette Syndrome and Tardive Dyskinesia. In April, 2017, valbenazine was approved by the FDA (as Ingrezza) as the first and only approved treatment for adults with Tardive Dyskinesia (TD).	For the treatment of tardive dyskinesia in adults [FDA Label].
DB11916	Indium In-111	15750-15-9	investigational,	Indium In-111 is under investigation in clinical trial NCT00493454 (Ibritumomab Tiuxetan for Treatment of Non-Follicular CD20+ Indolent Lymphomas).	
DB11917	Vatiquinone	1213269-98-7	investigational,	Vatiquinone has been investigated for the treatment and prevention of Retinopathy, Rett Syndrome, Genetic Disease, Noise-induced Hearing Loss, and Methylmalonic Aciduria and Homocystinuria,Cblc Type.	
DB11918	Guadecitabine	929901-49-5	investigational,	Guadecitabine is under investigation for the treatment of Previously Treated Metastatic Colorectal Cancer.	
DB11919	6-O-benzylguanine	19916-73-5	investigational,	6-O-benzylguanine has been used in trials studying the treatment of HIV Infection, Adult Gliosarcoma, Adult Glioblastoma, Stage I Adult Hodgkin Lymphoma, and Stage II Adult Hodgkin Lymphoma, among others.	
DB11920	Lesogaberan	344413-67-8	investigational,	Lesogaberan has been used in trials studying the treatment and basic science of GERD, Reflux, Heartburn, Regurgitation, and Reflux Disease, among others.	
DB11921	Deflazacort	14484-47-0	approved,investigational,	Deflazacort is a glucocorticoid used as an anti-inflammatory and immunosuppressant. It was approved in February, 2017 by the FDA for use in treatment of Duchenne muscular dystrophy (trade name Emflaza).	 is a corticosteroid indicated for the treatment of Duchenne muscular dystrophy (DMD) in patients 5 years of age and older
DB11922	Danirixin	954126-98-8	investigational,	Danirixin has been used in trials studying the treatment and basic science of Virus Diseases, Nutritional Status, Pulmonary Disease, Chronic Obstructive, and Infections, Respiratory Syncytial Virus.	
DB11923	Decoglurant	911115-16-7	investigational,	Decoglurant has been used in trials studying the treatment of Major Depressive Disorder.	
DB11924	Safingol	15639-50-6	investigational,	Safingol has been used in trials studying the treatment of Unspecified Adult Solid Tumor, Protocol Specific.	
DB11925	Vistusertib	1009298-59-2	investigational,	Vistusertib is under investigation for the treatment of Advanced Gastric Adenocarcinoma.	
DB11926	Tesidolumab	1531594-08-7	investigational,	Tesidolumab has been used in trials studying the treatment of Geographic Atrophy, Non-infectious Panuveitis, Exudative Macular Degeneration, Non-infectious Posterior Uveitis, and Age-related Macular Degeneration, among others.	
DB11927	Lodenafil Carbonate	398507-55-6	investigational,	Lodenafil Carbonate has been used in trials studying the treatment of Coronaropathy and Erectile Dysfunction.	
DB11928	Vosoritide	1480724-61-5	investigational,	Vosoritide has been used in trials studying the treatment of Achondroplasia.	
DB11929	Vaniprevir	923590-37-8	investigational,	Vaniprevir has been used in trials studying the treatment and diagnostic of Hepatitis C, Chronic Hepatitis C, Hepatitis C, Chronic, Chronic Hepatitis C Infection, and Chronic Genotype 1 Hepatitis C Virus Infection.	
DB11930	Varlilumab	1393344-72-3	investigational,	Varlilumab has been used in trials studying the treatment of MELANOMA, Skin Ulcer, Burkett's Lymphoma, Mantle cell lymphoma, and Any T-cell Malignancy, among others.	
DB11932	Abametapir	1762-34-1	investigational,	Abametapir has been investigated in Pediculosis.	
DB11933	Riboprine	7724-76-7	investigational,	Ipa has been used in trials studying the treatment of Nausea and Surgical Site Infection.	
DB11934	Epelsiban	872599-83-2	investigational,	Epelsiban has been investigated for the treatment of Premature Ejaculation.	
DB11935	Flomoxef	99665-00-6	investigational,	Flomoxef has been used in trials studying the treatment of Urinary Tract Infection.	
DB11936	Bempedoic acid	738606-46-7	investigational,	Bempedoic acid has been used in trials studying the treatment of Hypertension, Dyslipidemia, Hyperlipidemia, Type 2 Diabetes, and Hypercholesterolemia, among others.	
DB11937	Kynurenic Acid	492-27-3	investigational,	Kynurenic Acid is under investigation in clinical trial NCT02340325 (FS2 Safety and Tolerability Study in Healthy Volunteers).	
DB11938	Difelikefalin	1024828-77-0	investigational,	Difelikefalin has been used in trials studying the treatment of Acute Pain and Postoperative Pain.	
DB11939	Henagliflozin	1623804-44-3	investigational,	Henagliflozin has been used in trials studying the treatment of Type 2 Diabetes.	
DB11940	Triapine	143621-35-6	investigational,	Triapine has been used in trials studying the treatment of Leukemia, Lung Cancer, Kidney Cancer, Prostate Cancer, and Pancreatic Cancer, among others.	
DB11941	Tasisulam	519055-62-0	investigational,	Tasisulam has been used in trials studying the treatment and basic science of Melanoma, Lymphoma, Solid Tumors, Breast Cancer, and Ovarian Cancer, among others.	
DB11942	Selinexor	1393477-72-9	investigational,	Selinexor has been used in trials studying the treatment of AML, Glioma, Sarcoma, Leukemia, and Advanced, among others.	
DB11943	Delafloxacin	189279-58-1	approved,investigational,	Delafloxacin is a fluoroquinolone antibiotic which has been used in trials studying the treatment and basic science of Gonorrhea, Hepatic Impairment, Bacterial Skin Diseases, Skin Structure Infections, and Community Acquired Pneumonia, among others. It was approved in June 2017 under the trade name Baxdela for use in the treatment of acute bacterial skin and skin structure infections.	Delafloxacin is indicated for the treatment of acute bacterial skin and skin structure infections caused by the Gram-positive organisms Staphylococcus aureus (including methicillin-resistant and methicillin-susceptible isolates), Staphylococcus haemolyticus, Staphylococcus lugdunensis, Streptococcus agalactiae, Streptococcus anginosus Group (including Streptococcus anginosus, Streptococcus intermedius, and Streptococcus constellatus), Streptococcus pyogenes, and Enterococcus faecalis as well as the Gram-negative organisms Escherichia coli, Enterobacter cloacae, Klebsiella pneumoniae, and Pseudomonas aeruginosa [FDA Label].
DB11944	Ingavirin	219694-63-0	investigational,	Ingavirin has been used in trials studying the treatment of Influenza and Common Cold.	
DB11945	Avelumab	1537032-82-8	approved,investigational,	Avelumab is a programmed death ligand-1 (PD-L1) blocking antibody indicated for the treatment of adults and pediatric patients 12 years and older with metastatic Merkel cell carcinoma (MCC). It is a fully human anti-PD immunoglobulin G1 (IgG1) lambda monoclonal antibody with antineoplastic actions. It was granted accelerated approval in March 2017 under the name Bavencio.	Indicated for the treatment of adults and pediatric patients 12 years and older with metastatic Merkel cell carcinoma (MCC). 
DB11946	AZD-1981	802904-66-1	investigational,	AZD1981 has been used in trials studying the treatment and basic science of Asthma, Postmenopausal, Pharmakokinetic, Asthma Patients, and Drug Interaction, among others.	
DB11947	Pridopidine	346688-38-8	investigational,	Pridopidine has been used in trials studying the treatment of Huntington's Disease.	
DB11948	Lapachone	4707-32-8	investigational,	Lapachone has been used in trials studying the treatment of Cancer, Carcinoma, Advanced Solid Tumors, Head and Neck Neoplasms, and Carcinoma, Squamous Cell.	
DB11949	Vestipitant	334476-46-9	investigational,	Vestipitant has been investigated for the treatment of Tinnitus.	
DB11950	Teneligliptin	760937-92-6	investigational,	Teneligliptin has been investigated for the treatment of Type 2 Diabetes Mellitus.	
DB11951	Lemborexant	1369764-02-2	investigational,	Lemborexant has been investigated for the treatment of Insomnia.	
DB11952	Duvelisib	1201438-56-3	investigational,	Duvelisib has been used in trials studying the treatment and basic science of Lymphoma, Leukemia, T-cell Lymphoma, Hepatic Impairment, and Follicular Lymphoma, among others.	
DB11953	PF-04447943	1082744-20-4	investigational,	PF-04447943 has been investigated for the treatment of Alzheimer's Disease.	
DB11954	Lomibuvir	1026785-55-6	investigational,	Lomibuvir has been used in trials studying the treatment of Chronic Hepatitis C Virus and Chronic Hepatitis C Virus Infection.	
DB11955	Avotermin	182212-66-4	investigational,	Juvista has been investigated for the treatment, prevention, and basic science of Scars, Keloid, and Cicatrix.	
DB11956	Delanzomib	847499-27-8	investigational,	Delanzomib has been used in trials studying the treatment of Solid Tumors, Multiple Myeloma, and Lymphoma, Non-Hodgkin.	
DB11957	Idalopirdine	467459-31-0	investigational,	Idalopirdine has been used in trials studying the treatment of Cognition, Schizophrenia, and Alzheimer's Disease.	
DB11958	Brivanib	649735-46-6	investigational,	Brivanib is under investigation for the treatment of HepatoCellular Carcinoma. Brivanib has been investigated for the treatment of Solid Tumors, Hepato Cellular Carcinoma (HCC), and Metastatic Colorectal Cancer (MCRC).	
DB11959	Crenezumab	1095207-05-8	investigational,	Crenezumab has been used in trials studying the treatment of Alzheimer's Disease.	
DB11960	Carboxyamidotriazole	99519-84-3	investigational,	Carboxyamidotriazole has been used in trials studying the treatment of Lymphoma, Lung Cancer, Breast Cancer, Kidney Cancer, and Ovarian Cancer, among others.	
DB11961	AZD-1236	459814-89-2	investigational,	AZD1236 has been used in trials studying the basic science and treatment of Cystic Fibrosis and Chronic Obstructive Pulmonary Disease.	
DB11962	GSK-1059615	958852-01-2	investigational,	GSK1059615 has been used in trials studying the treatment of Lymphoma, Solid Tumours, Endometrial Cancer, Solid Tumor Cancer, and Metastatic Breast Cancer.	
DB11963	Dacomitinib	1110813-31-4	investigational,	Dacomitinib has been investigated for the treatment of Lung Cancer.	
DB11964	Ilaprazole	172152-36-2	investigational,	Ilaprazole has been investigated in Helicobacter Infections.	
DB11965	SJG-136	232931-57-6	investigational,	SJG-136 has been used in trials studying the treatment of Recurrent Fallopian Tube Cancer, Secondary Acute Myeloid Leukemia, de Novo Myelodysplastic Syndromes, Recurrent Ovarian Epithelial Cancer, and Secondary Myelodysplastic Syndromes, among others.	
DB11966	BMS-986094	1234490-83-5	investigational,	INX-08189 has been used in trials studying the treatment of Hepatitis C, HCV (Genotype 1), and Hepatitis C Virus.	
DB11967	Binimetinib	606143-89-9	approved,investigational,	"Binimetinib, also known as _Mektovi_, is a potent is a potent and selective oral mitogen-activated protein kinase 1/2   (MEK 1/2) inhibitor which is combined with [Encorafenib] [A34725],[L3335].

On June 27, 2018, the Food and Drug Administration approved the combination of [Encorafenib] and binimetinib (BRAFTOVI and MEKTOVI, from Array BioPharma Inc.) in combination for patients with unresectable or metastatic melanoma with the BRAF V600E or V600K mutations, as detected by an FDA-approved test [L3335]."	"
On June 27, 2018, the Food and Drug Administration approved encorafenib and binimetinib in combination patients with unresectable or metastatic melanoma with a BRAF V600E or V600K mutation, as detected by an FDA-approved test [L3335]."
DB11968	MK-7145	1255204-84-2	investigational,	MK-7145 has been used in trials studying the treatment of Hypertension and Renal Insufficiency.	
DB11969	Uprosertib	1047634-65-0	investigational,	Uprosertib has been used in trials studying the treatment of Cancer, Melanoma, Solid Tumours, Cervical Cancer, and HER2/Neu Negative, among others.	
DB11970	Burixafor	1191448-17-5	investigational,	Burixafor has been used in trials studying the treatment of Multiple Myeloma, Hodgkin's Disease, and Non-hodgkin's Lymphoma.	
DB11971	Vilaprisan	1262108-14-4	investigational,	Vilaprisan has been used in trials studying the treatment of Leiomyoma and Clinical Trial, Phase I.	
DB11972	Rilotumumab	872514-65-3	investigational,	Rilotumumab has been investigated for the treatment of Cancer, Lung Cancer, Solid Tumors, Gastric Cancer, and Prostate Cancer, among others.	
DB11973	Tesevatinib	781613-23-8	investigational,	"Tesevatinib has been used in trials studying the treatment of Cancer, Stomach Cancer, Brain Metastases, Esophageal Cancer, and Leptomeningeal Metastases, among others.

Tesevatinib is a potent inhibitor of multiple RTKs implicated in driving tumor cell proliferation and tumor vascularization (blood vessel formation). Tesevatinib inhibits the EGF, HER2, and VEGF RTKs, each of which is a target of currently approved cancer therapies. In addition, tesevatinib inhibits EphB4, an RTK that is highly expressed in many human tumors and plays a role in promoting angiogenesis. In a broad array of preclinical tumor models including breast, lung, colon and prostate cancer, XL647 demonstrated potent inhibition of tumor growth and causes tumor regression. In cell culture models, tesevatinib retains significant potency against mutant EGFRs that are resistant to current EGFR inhibitors."	
DB11974	PF-04691502	1013101-36-4	investigational,	PF-04691502 has been used in trials studying the treatment of Cancer, Breast Neoplasms, Early Breast Cancer (Phase 2), and Advanced Breast Cancer (Phase 1b).	
DB11975	TAK-448	1234319-68-6	investigational,	TAK-448 has been used in trials studying the treatment of Prostate Cancer, Low Testosterone, Prostatic Neoplasms, and Hypogonadotropic Hypogonadism.	
DB11976	Anifrolumab	1326232-46-5	investigational,	Anifrolumab has been investigated for the treatment of Scleroderma.	
DB11977	Golvatinib	928037-13-2	investigational,	Golvatinib has been investigated for the treatment of Platinum-Resistant Squamous Cell Carcinoma of the Head and Neck.	
DB11978	Glasdegib	1095173-27-5	investigational,	Glasdegib is under investigation for the treatment of Acute Myeloid Leukemia.	
DB11979	Elagolix	834153-87-6	investigational,	Elagolix has been used in trials studying the basic science and treatment of Endometriosis, Folliculogenesis, Uterine Fibroids, Heavy Uterine Bleeding, and Heavy Menstrual Bleeding.	
DB11980	Carbon Black	1333-86-4	investigational,	Carbon Black has been used in trials studying Atopic Hypersensitivity and Hypersensitivity, Immediate.	
DB11981	Elamipretide	736992-21-5	investigational,	Elamipretide has been used in trials studying the treatment of Leber's Hereditary Optic Neuropathy.	
DB11982	GDC-0623	1168091-68-6	investigational,	GDC-0623 has been used in trials studying the treatment of Solid Cancers.	
DB11983	Placulumab	945781-29-3	investigational,	Placulumab has been used in trials studying the treatment of Rheumatoid Arthritis.	
DB11984	Letaxaban	870262-90-1	investigational,	Letaxaban has been used in trials studying the treatment and prevention of Venous Thromboembolism and Acute Coronary Syndrome.	
DB11985	Dapaconazole	1269726-67-1	investigational,	Dapaconazole has been used in trials studying the treatment of Tinea Pedis.	
DB11986	Entrectinib	1108743-60-7	investigational,	Entrectinib is under investigation for the treatment of CNS Tumors, Solid Tumors, and Neuroblastoma.	
DB11987	GSK-2018682	1034688-30-6	investigational,	GSK2018682 has been investigated for the treatment of Multiple Sclerosis, Relapsing-Remitting.	
DB11988	Ocrelizumab	637334-45-3	approved,investigational,	"Ocrelizumab is a CD20-directed cytolytic antibody indicated for the treatment of patients with relapsing or primary progressive forms of multiple sclerosis. It is a second-generation recombinant humanized monoclonal IgG1 antibody that selectively targets the B lymphocytes that express the CD20 antigen. As a humanized molecule, ocrelizumab is expected to be less immunogenic with repeated infusions which improves the benefit-to-risk profile for patients with relapsing or progressive forms of MS. 

Multiple sclerosis (MS) is a chronic, inflammatory, autoimmune disease of the central nervous system that leads to neurological disabilities and significantly reduced quality of life [L1199]. Most patients with MS experience episodes of relapses with worsening function, followed by recovery periods, or remissions. Primary progressive multiple sclerosis (PPMS) accounts for 10-15% of the overall population of patients with MS, and involves gradual worsening of neurologic disability from symptom onset, often without early relapses or remissions [A31741].

Developed by Genentech/Roche, ocrelizumab was approved by the FDA in March 2017 under the market name Ocrevustm for intravenous injection. It was later approved by Health Canada (as Ocrevus) in August 2017, making the drug the first available treatment for PPMS in both U.S. and Canada. In clinical trials of patients with relapsing forms of MS, treatment with ocrelizumab resulted in reduced relapse rates and reduced worsening of disability compared to interferon beta-1a [L1199]. In phase 3 clinical trials of patients with PPMS, treatment with ocrelizumab demonstrated lower rates of clinical and MRI progression than placebo [A31741]."	Indicated for the treatment of adult patients with relapsing or primary progressive forms of multiple sclerosis [FDA Label].
DB11989	Benznidazole	22994-85-0	approved,investigational,	Benznidazole was granted accelerated approval for the treatment of Chagas disease in children 2-12 years of age by the FDA on August 29, 2017 [L939]. It is the first treatment made available in the United States for Chagas disease.	For use in the treatment of Chagas disease in children 2-12 years of age [L939].
DB11990	MK-0812	624733-88-6	investigational,	MK0812 has been used in trials studying the treatment of Relapsing-Remitting Multiple Sclerosis.	
DB11991	Oprozomib	935888-69-0	investigational,	Oprozomib has been used in trials studying the treatment of Solid Tumors, Multiple Myeloma, Waldenstrom Macroglobulinemia, Advanced Hepatocellular Carcinoma, and Advanced Non-Central Nervous System (CNS) Malignancies.	
DB11992	Omarigliptin	1226781-44-7	investigational,	Omarigliptin has been used in trials studying the treatment of Type 2 Diabetes Mellitus and Chronic Renal Insufficiency.	
DB11993	PF-03463275		investigational,	Pf 3463275 has been used in trials studying the treatment of Schizophrenia and Cognitive Impairments Associated With Schizophrenia.	
DB11994	Diacerein	13739-02-1	approved,investigational,	Diacerein is a prodrug which is metabolized to rhein. It is currently approved in France for the treatment of osteoarthritis although the use of diacerein is restricted due to the side effects including sevre diarrhea [L780]. Diacerein is under investigation for the treatment of Insulin Resistance, Diabetes Mellitus (Type 2), and Diabetes-Related Complications.	For the treatment of osteoarthritis affecting the hip or knee [L780].
DB11995	Avatrombopag	570406-98-3	approved,investigational,	"Avatrombopag (_Doptelet_), is an orally administered, small-molecule thrombopoietin receptor (c-Mpl) agonist which increases platelet number, but not platelet activation [A33097], [L2824].  This decreases the need for blood transfusions [L2824]. 

Patients with thrombocytopenia and chronic liver disease (leading to thrombocytopenia) often require platelet transfusions before surgical procedures to decrease the risk of bleeding [A33095]. Thrombocytopenia (or decreased numbers of platelets) is a common complication in patients suffering from chronic liver disease, either as an immediate result of liver disease or a consequence of interferon-based antiviral therapy [F95].  

Avatrombopag was approved by the FDA on May 21, 2018 for thrombocytopenia (low platelets) in adults with chronic liver disease who are scheduled to undergo a procedure [L2931]. It is administered orally as _avatrombopag maleate_, its salt form [L2927].  

_Doptelet_ (Avatrombopag) is the first orally administered treatment option for patients with chronic liver disease,  allowing a large population of patients to avoid a platelet transfusion before a procedure by increasing platelet counts to the optimal level of greater or equal to 50,000 per microliter [L2932]."	Indicated for the treatment of thrombocytopenia in adult patients with chronic liver disease who are scheduled to undergo a procedure [FDA label].
DB11996	Thymopentin	69558-55-0	investigational,	Thymopentin has been used in trials studying the treatment and prevention of HIV Infections and Hepatocellular Carcinoma.	
DB11997	Interleukin-7	858376-81-5	investigational,	Interleukin 7 has been used in trials studying the treatment of Metastatic Breast Cancer.	
DB11998	Sorivudine	77181-69-2	investigational,	Sorivudine has been used in trials studying the treatment of Chickenpox and HIV Infections.	
DB11999	Vosaroxin	175414-77-4	investigational,	Vosaroxin is under investigation for the treatment of Leukemia, Myeloid, Acute.	
DB12000	Apabetalone	1044870-39-4	investigational,	Apabetalone has been investigated for the treatment of Diabetes, Atherosclerosis, and Coronary Artery Disease.	
DB12001	Abemaciclib	1231929-97-7	approved,investigational,	Abemaciclib is an antitumor agent and dual inhibitor of cyclin-dependent kinases 4 (CDK4) and 6 (CDK6) that are involved in the cell cycle and promotion of cancer cell growth in case of unregulated activity. On September 28, 2017, FDA granted approval of abemaciclib treatment under the market name Verzenio for the treatment of HR-positive and HER2-negative advanced or metastatic breast cancer that has progressed after unsuccessful endocrine therapy. It is either given alone in patients who has undergone endocrine therapy and chemotherapy after the metastasis of cancer, or in combination with [DB00947]. Following oral treatment in patients with HR-positive, HER2-negative breast cancer, abemaciclib demonstrated increased progression-free survival rates and objective response rates. Abemaciclib has been used in trials studying the treatment of melanoma, lymphoma, neoplasm, solid tumor, and glioblastoma.	"* Indicated in combination with fulvestrant for the treatment of women with hormone receptor (HR)-positive, human epidermal growth factor receptor 2 (HER2)-negative advanced or metastatic breast cancer with disease progression following endocrine therapy. 

* Inidicated as monotherapy for the treatment of adult patients with HR-positive, HER2-negative advanced or metastatic breast cancer with disease progression following endocrine therapy and prior chemotherapy in the metastatic setting. "
DB12002	AZD-4818	1003566-93-5	investigational,	AZD4818 has been used in trials studying the treatment of Chronic Obstructive Pulmonary Disease (COPD).	
DB12003	Thymosin beta-4	77642-24-1	investigational,	Thymosin Beta 4 has been investigated for the treatment of STEMI, Dry Eye, Diabetes, Pressure Ulcers, and Dry Eye Syndrome, among others.	
DB12004	Briciclib	865783-99-9	investigational,	Briciclib has been used in trials studying the treatment of Lymphoma, Neoplasms, Advanced Solid Tumor, and Acute Lymphocytic Leukemia.	
DB12005	Nirogacestat	1290543-63-3	investigational,	Nirogacestat has been used in trials studying the treatment of Breast Cancer, HIV Infection, Desmoid Tumors, Advanced Solid Tumors, and Aggressive Fibromatosis, among others.	
DB12006	BMS-906024	1401066-79-2	investigational,	BMS-906024 has been used in trials studying the treatment of Cancer, Lymphoblastic Leukemia, Acute T-cell, and Precursor T-Cell Lymphoblastic Lymphoma.	
